2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:14:59 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:14:59 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:14:59 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:23:36 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:23:36 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:23:36 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-17 11:32:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-17 11:32:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-17 11:32:00 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-17 11:35:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-17 11:35:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-17 11:35:00 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-17 11:38:34 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-17 11:38:34 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-17 11:38:34 | agent_iam.feishu_integration | INFO | logger:114 | ✅ 真实飞书API客户端初始化成功
