2026-04-15 19:45:59 | agent_iam | INFO | logger:114 | 日志系统已初始化 | log_level=INFO | environment=unknown
2026-04-15 19:49:37 | agent_iam | INFO | logger:114 | 日志系统已初始化 | log_level=INFO | environment=unknown
2026-04-16 10:08:02 | agent_iam | INFO | logger:114 | 断路器已初始化: feishu_token_api | failure_threshold=5 | recovery_timeout=30.0
2026-04-16 10:10:23 | agent_iam | INFO | logger:114 | 断路器已初始化: feishu_token_api | failure_threshold=5 | recovery_timeout=30.0
2026-04-16 10:16:51 | agent_iam | INFO | logger:114 | 指标收集器已初始化 | retention_hours=24
2026-04-16 10:16:52 | agent_iam | INFO | logger:114 | 定期指标收集已启动 | interval_seconds=60
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:14:59 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:14:59 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:14:59 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:14:59 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:15:21 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:15:21 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:16:17 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:16:17 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-16 22:23:36 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-16 22:23:36 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-16 22:23:36 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-17 11:32:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-17 11:32:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-17 11:32:00 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-17 11:35:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-17 11:35:00 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-17 11:35:00 | agent_iam.feishu_integration | WARNING | logger:118 | ⚠️ 飞书API配置不完整，使用模拟模式
2026-04-17 11:38:34 | agent_iam.feishu_integration | INFO | logger:114 | 初始化飞书API客户端
2026-04-17 11:38:34 | agent_iam.feishu_integration | INFO | logger:114 | 初始化缓存，TTL: 300秒
2026-04-17 11:38:34 | agent_iam.feishu_integration | INFO | logger:114 | ✅ 真实飞书API客户端初始化成功
2026-04-17 11:39:12 | agent_iam.feishu_org_sync | INFO | feishu_org_sync:117 | 开始全量同步飞书组织架构
2026-04-17 11:39:12 | agent_iam.feishu_org_sync | INFO | feishu_org_sync:365 | 开始同步部门数据
2026-04-17 11:39:12 | agent_iam.feishu_client | ERROR | feishu_client:203 | 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:12 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:397 | 获取部门列表失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
