2026-04-17 11:39:12 | agent_iam.feishu_client | ERROR | feishu_client:203 | 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:12 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:397 | 获取部门列表失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:12 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:133 | 全量同步失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:28 | agent_iam.feishu_client | ERROR | feishu_client:203 | 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:28 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:397 | 获取部门列表失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:28 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:133 | 全量同步失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:31 | agent_iam.feishu_client | ERROR | feishu_client:203 | 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:31 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:397 | 获取部门列表失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:39:31 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:133 | 全量同步失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:40:20 | agent_iam.feishu_client | ERROR | feishu_client:203 | 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
2026-04-17 11:40:20 | agent_iam.feishu_org_sync | ERROR | feishu_org_sync:397 | 获取部门列表失败: 获取部门列表失败: Access denied. One of the following scopes is required: [contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app].应用尚未开通所需的应用身份权限：[contact:contact.base:readonly, contact:department.organize:readonly, contact:contact:access_as_app, contact:contact:readonly, contact:contact:readonly_as_app]，点击链接申请并开通任一权限即可：https://open.feishu.cn/app/cli_a9552d4937b95bd4/auth?q=contact:contact.base:readonly,contact:department.organize:readonly,contact:contact:access_as_app,contact:contact:readonly,contact:contact:readonly_as_app&op_from=openapi&token_type=tenant
